0.0.0.0|0.255.255.255|0|0|0|内网IP|内网IP
1.0.0.0|1.0.0.255|澳大利亚|0|0|0|0
1.0.1.0|1.0.3.255|中国|0|福建省|福州市|电信
1.0.4.0|1.0.7.255|澳大利亚|0|维多利亚|墨尔本|0
1.0.8.0|1.0.15.255|中国|0|广东省|广州市|电信
1.0.16.0|1.0.31.255|日本|0|0|0|0
1.0.32.0|1.0.63.255|中国|0|广东省|广州市|电信
1.0.64.0|1.0.79.255|日本|0|广岛县|0|0
1.0.80.0|1.0.127.255|日本|0|冈山县|0|0
1.0.128.0|1.0.128.255|泰国|0|清莱府|0|TOT
1.0.129.0|1.0.132.191|泰国|0|曼谷|曼谷|TOT
1.0.132.192|1.0.132.255|泰国|0|Nakhon-Ratchasima|0|TOT
1.0.133.0|1.0.133.255|泰国|0|素攀武里府|0|TOT
1.0.134.0|1.0.134.255|泰国|0|曼谷|曼谷|TOT
1.0.135.0|1.0.135.127|泰国|0|华富里府|0|TOT
1.0.135.128|1.0.135.255|泰国|0|素攀武里府|0|TOT
1.0.136.0|1.0.136.255|泰国|0|龙仔厝府|0|TOT
1.0.137.0|1.0.137.255|泰国|0|大城府|0|TOT
1.0.138.0|1.0.143.255|泰国|0|曼谷|曼谷|TOT
1.0.144.0|1.0.159.255|泰国|0|春蓬府|0|TOT
1.0.160.0|1.0.162.255|泰国|0|洛坤府|0|TOT
1.0.163.0|1.0.163.255|泰国|0|春蓬府|0|TOT
1.0.164.0|1.0.164.63|泰国|0|0|0|TOT
1.0.164.64|1.0.164.127|泰国|0|普吉府|0|TOT
1.0.164.128|1.0.170.255|泰国|0|0|0|TOT
1.0.171.0|1.0.175.255|泰国|0|攀牙府|0|TOT
1.0.176.0|1.0.181.255|泰国|0|尖竹汶府|0|TOT
1.0.182.0|1.0.182.223|泰国|0|罗勇府|0|TOT
1.0.182.224|1.0.182.255|泰国|0|Chon-Buri|0|TOT
1.0.183.0|1.0.183.63|泰国|0|尖竹汶府|0|TOT
1.0.183.64|1.0.187.127|泰国|0|0|0|TOT
1.0.187.128|1.0.188.255|泰国|0|尖竹汶府|0|TOT
1.0.189.0|1.0.189.31|泰国|0|Chon-Buri|0|TOT
1.0.189.32|1.0.189.63|泰国|0|素可泰府|0|TOT
1.0.189.64|1.0.189.127|泰国|0|曼谷|曼谷|TOT
1.0.189.128|1.0.190.255|泰国|0|尖竹汶府|0|TOT
1.0.191.0|1.0.199.255|泰国|0|曼谷|曼谷|TOT
1.0.200.0|1.0.200.255|泰国|0|Chon-Buri|0|TOT
1.0.201.0|1.0.203.255|泰国|0|曼谷|曼谷|TOT
1.0.204.0|1.0.204.63|泰国|0|北榄坡府|0|TOT
1.0.204.64|1.0.204.219|泰国|0|曼谷|曼谷|TOT
1.0.204.220|1.0.204.223|泰国|0|碧差汶府|0|TOT
1.0.204.224|1.0.204.255|泰国|0|甘烹碧府|0|TOT
1.0.205.0|1.0.205.255|泰国|0|彭世洛府|0|TOT
1.0.206.0|1.0.206.255|泰国|0|北榄坡府|0|TOT
1.0.207.0|1.0.207.127|泰国|0|披集府|0|TOT
1.0.207.128|1.0.207.255|泰国|0|曼谷|曼谷|TOT
1.0.208.0|1.0.208.255|泰国|0|佛统府|0|TOT
1.0.209.0|1.0.209.127|泰国|0|巴蜀府|0|TOT
1.0.209.128|1.0.209.255|泰国|0|佛统府|0|TOT
1.0.210.0|1.0.210.127|泰国|0|曼谷|曼谷|TOT
1.0.210.128|1.0.211.127|泰国|0|大城府|0|TOT
1.0.211.128|1.0.211.255|泰国|0|曼谷|曼谷|TOT
1.0.212.0|1.0.212.255|泰国|0|叻丕府|0|TOT
1.0.213.0|1.0.213.127|泰国|0|曼谷|曼谷|TOT
1.0.213.128|1.0.213.255|泰国|0|佛统府|0|TOT
1.0.214.0|1.0.214.255|泰国|0|宋卡府|0|TOT
1.0.215.0|1.0.215.255|泰国|0|曼谷|曼谷|TOT
1.0.216.0|1.0.219.255|泰国|0|洛坤府|0|TOT
1.0.220.0|1.0.220.255|泰国|0|春蓬府|0|TOT
1.0.221.0|1.0.222.255|泰国|0|素叻府|0|TOT
1.0.223.0|1.0.253.255|泰国|0|普吉府|0|TOT
1.0.254.0|1.0.254.31|泰国|0|宋卡府|0|TOT
1.0.254.32|1.0.254.63|泰国|0|陶公府|0|TOT
1.0.254.64|1.0.254.127|泰国|0|普吉府|0|TOT
1.0.254.128|1.0.255.255|泰国|0|宋卡府|0|TOT
1.1.0.0|1.1.0.255|中国|0|福建省|福州市|电信
1.1.1.0|1.1.1.255|澳大利亚|0|0|0|0
